board_state	best_move	score_evaluation	mate_evaluation	candidate_moves
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (4, 6, 2), (6, 5, 1), (7, 6, 2), (5, 6, 1), (4, 7, 2), (4, 5, 1), (5, 5, 2)]	(3, 7)	283.125	None	{'(3, 7)': {'count': 8, 'move': (3, 7), 'evaluations': ['302', '309', '255', '267', '315', '265', '287', '265']}}
[(7, 7, 1), (6, 6, 2), (7, 8, 1), (7, 9, 2), (8, 5, 1), (8, 7, 2)]	(7, 4)	281.5	None	{'(7, 4)': {'count': 8, 'move': (7, 4), 'evaluations': ['267', '282', '274', '295', '278', '299', '297', '260']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2)]	(3, 8)	-315.0	-M27	{'(3, 8)': {'count': 8, 'move': (3, 8), 'evaluations': ['-315', '-M36', '-M36', '-M24', '-M24', '-M24', '-M24', '-M24']}}
[(7, 7, 1), (6, 7, 2), (7, 5, 1), (8, 6, 2), (5, 6, 1), (7, 4, 2), (6, 6, 1), (5, 7, 2), (8, 8, 1), (9, 9, 2)]	(4, 8)	231.5	+M37	{'(9, 8)': {'count': 2, 'move': (9, 8), 'evaluations': ['226', '237']}, '(4, 8)': {'count': 6, 'move': (4, 8), 'evaluations': ['+M37', '+M37', '+M37', '+M37', '+M37', '+M37']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (5, 8, 1), (4, 8, 2), (6, 9, 1), (4, 7, 2), (5, 7, 1), (5, 9, 2), (8, 8, 1), (9, 9, 2), (4, 6, 1), (2, 6, 2)]	(6, 10)	None	+M36	{'(6, 10)': {'count': 5, 'move': (6, 10), 'evaluations': ['+M45', '+M45', '+M43', '+M43', '+M43']}, '(3, 7)': {'count': 3, 'move': (3, 7), 'evaluations': ['+M23', '+M23', '+M23']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2)]	(9, 6)	None	+M23	{'(9, 6)': {'count': 8, 'move': (9, 6), 'evaluations': ['+M23', '+M23', '+M23', '+M23', '+M23', '+M23', '+M23', '+M23']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2), (3, 8, 1), (9, 6, 2)]	(8, 8)	None	-M22	{'(8, 8)': {'count': 8, 'move': (8, 8), 'evaluations': ['-M22', '-M22', '-M22', '-M22', '-M22', '-M22', '-M22', '-M22']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2), (9, 6, 1), (8, 8, 2)]	(10, 5)	None	+M21	{'(10, 5)': {'count': 8, 'move': (10, 5), 'evaluations': ['+M21', '+M21', '+M21', '+M21', '+M21', '+M21', '+M21', '+M21']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2), (3, 8, 1), (9, 6, 2), (8, 8, 1), (10, 5, 2)]	(7, 5)	None	-M20	{'(9, 5)': {'count': 1, 'move': (9, 5), 'evaluations': ['-M20']}, '(7, 5)': {'count': 7, 'move': (7, 5), 'evaluations': ['-M20', '-M20', '-M20', '-M20', '-M20', '-M20', '-M20']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2), (9, 6, 1), (8, 8, 2), (10, 5, 1), (7, 5, 2)]	(7, 4)	None	+M15	{'(7, 4)': {'count': 8, 'move': (7, 4), 'evaluations': ['+M15', '+M15', '+M15', '+M15', '+M15', '+M15', '+M15', '+M15']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2), (3, 8, 1), (9, 6, 2), (8, 8, 1), (10, 5, 2), (7, 5, 1), (7, 4, 2)]	(6, 3)	None	-M14	{'(6, 3)': {'count': 8, 'move': (6, 3), 'evaluations': ['-M14', '-M14', '-M14', '-M14', '-M14', '-M14', '-M14', '-M14']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2), (9, 6, 1), (8, 8, 2), (10, 5, 1), (7, 5, 2), (7, 4, 1), (6, 3, 2)]	(8, 7)	None	+M13	{'(8, 7)': {'count': 8, 'move': (8, 7), 'evaluations': ['+M13', '+M13', '+M13', '+M13', '+M13', '+M13', '+M13', '+M13']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2), (3, 8, 1), (9, 6, 2), (8, 8, 1), (10, 5, 2), (7, 5, 1), (7, 4, 2), (6, 3, 1), (8, 7, 2)]	(11, 4)	None	-M12	{'(11, 4)': {'count': 8, 'move': (11, 4), 'evaluations': ['-M12', '-M12', '-M12', '-M12', '-M12', '-M12', '-M12', '-M12']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2), (9, 6, 1), (8, 8, 2), (10, 5, 1), (7, 5, 2), (7, 4, 1), (6, 3, 2), (8, 7, 1), (11, 4, 2)]	(9, 4)	None	+M11	{'(9, 4)': {'count': 8, 'move': (9, 4), 'evaluations': ['+M11', '+M11', '+M11', '+M11', '+M11', '+M11', '+M11', '+M11']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2), (3, 8, 1), (9, 6, 2), (8, 8, 1), (10, 5, 2), (7, 5, 1), (7, 4, 2), (6, 3, 1), (8, 7, 2), (11, 4, 1), (9, 4, 2)]	(9, 7)	None	-M10	{'(9, 7)': {'count': 8, 'move': (9, 7), 'evaluations': ['-M10', '-M10', '-M10', '-M10', '-M10', '-M10', '-M10', '-M10']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2), (9, 6, 1), (8, 8, 2), (10, 5, 1), (7, 5, 2), (7, 4, 1), (6, 3, 2), (8, 7, 1), (11, 4, 2), (9, 4, 1), (9, 7, 2)]	(6, 4)	None	+M9	{'(6, 4)': {'count': 8, 'move': (6, 4), 'evaluations': ['+M9', '+M9', '+M9', '+M9', '+M9', '+M9', '+M9', '+M9']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2), (3, 8, 1), (9, 6, 2), (8, 8, 1), (10, 5, 2), (7, 5, 1), (7, 4, 2), (6, 3, 1), (8, 7, 2), (11, 4, 1), (9, 4, 2), (9, 7, 1), (6, 4, 2)]	(8, 4)	None	-M8	{'(8, 4)': {'count': 8, 'move': (8, 4), 'evaluations': ['-M8', '-M8', '-M8', '-M8', '-M8', '-M8', '-M8', '-M8']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2), (9, 6, 1), (8, 8, 2), (10, 5, 1), (7, 5, 2), (7, 4, 1), (6, 3, 2), (8, 7, 1), (11, 4, 2), (9, 4, 1), (9, 7, 2), (6, 4, 1), (8, 4, 2)]	(8, 3)	None	+M7	{'(8, 3)': {'count': 8, 'move': (8, 3), 'evaluations': ['+M7', '+M7', '+M7', '+M7', '+M7', '+M7', '+M7', '+M7']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2), (3, 8, 1), (9, 6, 2), (8, 8, 1), (10, 5, 2), (7, 5, 1), (7, 4, 2), (6, 3, 1), (8, 7, 2), (11, 4, 1), (9, 4, 2), (9, 7, 1), (6, 4, 2), (8, 4, 1), (8, 3, 2)]	(10, 8)	None	-M6	{'(10, 8)': {'count': 8, 'move': (10, 8), 'evaluations': ['-M6', '-M6', '-M6', '-M6', '-M6', '-M6', '-M6', '-M6']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2), (9, 6, 1), (8, 8, 2), (10, 5, 1), (7, 5, 2), (7, 4, 1), (6, 3, 2), (8, 7, 1), (11, 4, 2), (9, 4, 1), (9, 7, 2), (6, 4, 1), (8, 4, 2), (8, 3, 1), (10, 8, 2)]	(11, 9)	None	+M5	{'(11, 9)': {'count': 8, 'move': (11, 9), 'evaluations': ['+M5', '+M5', '+M5', '+M5', '+M5', '+M5', '+M5', '+M5']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2), (3, 8, 1), (9, 6, 2), (8, 8, 1), (10, 5, 2), (7, 5, 1), (7, 4, 2), (6, 3, 1), (8, 7, 2), (11, 4, 1), (9, 4, 2), (9, 7, 1), (6, 4, 2), (8, 4, 1), (8, 3, 2), (10, 8, 1), (11, 9, 2)]	(11, 6)	None	-M4	{'(11, 6)': {'count': 8, 'move': (11, 6), 'evaluations': ['-M4', '-M4', '-M4', '-M4', '-M4', '-M4', '-M4', '-M4']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2), (9, 6, 1), (8, 8, 2), (10, 5, 1), (7, 5, 2), (7, 4, 1), (6, 3, 2), (8, 7, 1), (11, 4, 2), (9, 4, 1), (9, 7, 2), (6, 4, 1), (8, 4, 2), (8, 3, 1), (10, 8, 2), (11, 9, 1), (11, 6, 2)]	(6, 5)	None	+M3	{'(6, 5)': {'count': 8, 'move': (6, 5), 'evaluations': ['+M3', '+M3', '+M3', '+M3', '+M3', '+M3', '+M3', '+M3']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (8, 5, 2), (5, 5, 1), (6, 8, 2), (8, 6, 1), (4, 8, 2), (5, 9, 1), (5, 8, 2), (3, 8, 1), (9, 6, 2), (8, 8, 1), (10, 5, 2), (7, 5, 1), (7, 4, 2), (6, 3, 1), (8, 7, 2), (11, 4, 1), (9, 4, 2), (9, 7, 1), (6, 4, 2), (8, 4, 1), (8, 3, 2), (10, 8, 1), (11, 9, 2), (11, 6, 1), (6, 5, 2)]	(4, 7)	None	-M2	{'(4, 7)': {'count': 8, 'move': (4, 7), 'evaluations': ['-M2', '-M2', '-M2', '-M2', '-M2', '-M2', '-M2', '-M2']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (5, 5, 2), (6, 8, 1), (8, 6, 2), (4, 8, 1), (5, 9, 2), (5, 8, 1), (3, 8, 2), (9, 6, 1), (8, 8, 2), (10, 5, 1), (7, 5, 2), (7, 4, 1), (6, 3, 2), (8, 7, 1), (11, 4, 2), (9, 4, 1), (9, 7, 2), (6, 4, 1), (8, 4, 2), (8, 3, 1), (10, 8, 2), (11, 9, 1), (11, 6, 2), (6, 5, 1), (4, 7, 2)]	(9, 2)	None	+M1	{'(9, 2)': {'count': 8, 'move': (9, 2), 'evaluations': ['+M1', '+M1', '+M1', '+M1', '+M1', '+M1', '+M1', '+M1']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (5, 8, 2), (4, 8, 1), (4, 7, 2)]	(5, 7)	None	-M34	{'(5, 7)': {'count': 8, 'move': (5, 7), 'evaluations': ['-M34', '-M34', '-M34', '-M34', '-M34', '-M34', '-M34', '-M34']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 5, 1), (5, 8, 2), (6, 6, 1), (5, 7, 2), (5, 9, 1), (6, 5, 2), (5, 4, 1), (7, 9, 2)]	(7, 8)	None	-M38	{'(7, 8)': {'count': 8, 'move': (7, 8), 'evaluations': ['-M38', '-M38', '-M38', '-M38', '-M38', '-M40', '-M40', '-M38']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 6, 1), (5, 6, 2), (5, 7, 1), (4, 8, 2)]	(6, 8)	None	-M33	{'(6, 8)': {'count': 8, 'move': (6, 8), 'evaluations': ['-M34', '-M34', '-M34', '-M34', '-M32', '-M32', '-M32', '-M32']}}
[(7, 7, 2), (6, 7, 1), (7, 5, 2), (7, 6, 1), (8, 5, 2), (6, 5, 1), (6, 6, 2)]	(8, 4)	-624.5	-M40	{'(8, 4)': {'count': 8, 'move': (8, 4), 'evaluations': ['-320', '-M46', '-806', '-M38', '-M38', '-635', '-737', '-M40']}}
[(7, 7, 1), (6, 7, 2)]	(6, 6)	256.0	None	{'(6, 6)': {'count': 8, 'move': (6, 6), 'evaluations': ['215', '279', '215', '279', '246', '319', '202', '293']}}
[(7, 7, 2), (6, 7, 1), (6, 6, 2)]	(8, 6)	-130.125	None	{'(8, 6)': {'count': 3, 'move': (8, 6), 'evaluations': ['-108', '-143', '-165']}, '(7, 5)': {'count': 2, 'move': (7, 5), 'evaluations': ['-97', '-138']}, '(8, 8)': {'count': 1, 'move': (8, 8), 'evaluations': ['-132']}, '(5, 5)': {'count': 2, 'move': (5, 5), 'evaluations': ['-129', '-129']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 8, 2), (6, 5, 1), (5, 7, 2), (7, 5, 1), (8, 5, 2), (8, 6, 1), (7, 4, 2), (9, 7, 1), (10, 8, 2), (9, 8, 1), (9, 6, 2)]	(10, 7)	389.875	None	{'(10, 7)': {'count': 8, 'move': (10, 7), 'evaluations': ['346', '381', '417', '417', '322', '395', '411', '430']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (8, 5, 1), (6, 4, 2), (6, 5, 1), (7, 4, 2)]	(8, 4)	406.0	+M43	{'(5, 5)': {'count': 4, 'move': (5, 5), 'evaluations': ['320', '335', '339', '349']}, '(8, 4)': {'count': 4, 'move': (8, 4), 'evaluations': ['288', '486', '725', '+M43']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 6, 2), (5, 6, 1), (5, 7, 2), (4, 8, 1), (6, 8, 2)]	(6, 9)	None	+M33	{'(6, 9)': {'count': 8, 'move': (6, 9), 'evaluations': ['+M33', '+M33', '+M33', '+M33', '+M33', '+M33', '+M33', '+M33']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 6, 2), (5, 8, 1), (4, 8, 2), (4, 7, 1), (5, 7, 2)]	(6, 9)	None	+M34	{'(6, 9)': {'count': 8, 'move': (6, 9), 'evaluations': ['+M43', '+M33', '+M33', '+M33', '+M33', '+M33', '+M33', '+M33']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 6, 2)]	(8, 6)	359.625	None	{'(8, 6)': {'count': 4, 'move': (8, 6), 'evaluations': ['227', '202', '220', '217']}, '(5, 6)': {'count': 4, 'move': (5, 6), 'evaluations': ['396', '463', '570', '582']}}
[(7, 7, 1), (6, 7, 2), (5, 6, 1), (7, 5, 2), (5, 8, 1), (6, 6, 2), (5, 7, 1), (5, 9, 2), (6, 5, 1), (5, 4, 2), (7, 9, 1), (7, 8, 2)]	(8, 10)	None	+M35	{'(8, 10)': {'count': 8, 'move': (8, 10), 'evaluations': ['+M35', '+M35', '+M35', '+M35', '+M35', '+M35', '+M35', '+M35']}}
[(7, 7, 1), (6, 7, 2), (6, 6, 1), (8, 6, 2)]	(8, 8)	None	+M29	{'(8, 8)': {'count': 8, 'move': (8, 8), 'evaluations': ['+M29', '+M29', '+M29', '+M29', '+M29', '+M29', '+M29', '+M29']}}
[(7, 7, 2), (6, 7, 1), (7, 5, 2), (8, 6, 1), (8, 5, 2), (6, 5, 1), (7, 4, 2), (7, 6, 1), (9, 6, 2)]	(6, 3)	-141.5	None	{'(6, 3)': {'count': 8, 'move': (6, 3), 'evaluations': ['-107', '-162', '-141', '-153', '-118', '-184', '-149', '-118']}}
[(7, 7, 2), (6, 7, 1), (6, 6, 2), (8, 6, 1), (8, 8, 2)]	(9, 9)	None	-M28	{'(9, 9)': {'count': 8, 'move': (9, 9), 'evaluations': ['-M28', '-M28', '-M28', '-M28', '-M28', '-M28', '-M28', '-M28']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 6, 1), (5, 6, 2), (6, 9, 1), (4, 5, 2), (5, 7, 1), (4, 8, 2), (6, 8, 1), (6, 7, 2), (7, 8, 1), (4, 6, 2), (4, 7, 1), (8, 7, 2), (3, 7, 1), (6, 4, 2)]	(4, 4)	None	-M28	{'(4, 4)': {'count': 4, 'move': (4, 4), 'evaluations': ['-M30', '-M30', '-M28', '-M28']}, '(2, 7)': {'count': 1, 'move': (2, 7), 'evaluations': ['-M28']}, '(3, 5)': {'count': 1, 'move': (3, 5), 'evaluations': ['-M28']}, '(5, 3)': {'count': 2, 'move': (5, 3), 'evaluations': ['-M28', '-M28']}}
[(7, 7, 1), (6, 7, 2), (6, 6, 1), (8, 6, 2), (8, 8, 1), (9, 9, 2)]	(4, 6)	None	+M29	{'(4, 6)': {'count': 8, 'move': (4, 6), 'evaluations': ['+M29', '+M29', '+M29', '+M29', '+M29', '+M29', '+M29', '+M29']}}
[(7, 7, 1), (6, 7, 2)]	(7, 5)	220.25	None	{'(7, 5)': {'count': 7, 'move': (7, 5), 'evaluations': ['205', '227', '229', '223', '267', '250', '222']}, '(8, 6)': {'count': 1, 'move': (8, 6), 'evaluations': ['139']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 6, 1), (5, 6, 2), (5, 7, 1), (4, 8, 2), (6, 8, 1), (6, 9, 2)]	(7, 9)	-378.0	-M28	{'(4, 9)': {'count': 1, 'move': (4, 9), 'evaluations': ['-378']}, '(7, 9)': {'count': 6, 'move': (7, 9), 'evaluations': ['-M28', '-M28', '-M28', '-M28', '-M28', '-M28']}, '(4, 7)': {'count': 1, 'move': (4, 7), 'evaluations': ['-M28']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 6, 2), (5, 6, 1), (6, 9, 2), (4, 5, 1), (5, 7, 2), (4, 8, 1), (6, 8, 2), (6, 7, 1), (7, 8, 2), (4, 6, 1), (4, 7, 2), (8, 7, 1), (3, 7, 2), (6, 4, 1), (4, 4, 2)]	(3, 4)	None	+M27	{'(3, 4)': {'count': 8, 'move': (3, 4), 'evaluations': ['+M27', '+M27', '+M27', '+M27', '+M27', '+M27', '+M27', '+M27']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 6, 1), (5, 6, 2), (6, 9, 1), (4, 5, 2), (5, 7, 1), (4, 8, 2), (6, 8, 1), (6, 7, 2), (7, 8, 1), (4, 6, 2), (4, 7, 1), (8, 7, 2), (3, 7, 1), (6, 4, 2), (4, 4, 1), (3, 4, 2)]	(2, 3)	68.0	None	{'(2, 3)': {'count': 8, 'move': (2, 3), 'evaluations': ['68', '68', '68', '68', '68', '68', '68', '68']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 6, 2), (5, 6, 1), (6, 9, 2), (4, 5, 1), (5, 7, 2), (4, 8, 1), (6, 8, 2), (6, 7, 1), (7, 8, 2), (4, 6, 1), (4, 7, 2), (8, 7, 1), (3, 7, 2), (6, 4, 1), (4, 4, 2), (3, 4, 1), (2, 3, 2)]	(6, 3)	None	+M25	{'(6, 3)': {'count': 8, 'move': (6, 3), 'evaluations': ['+M25', '+M25', '+M25', '+M25', '+M25', '+M25', '+M25', '+M25']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 5, 1), (5, 8, 2), (6, 6, 1), (5, 7, 2), (5, 9, 1), (6, 5, 2), (5, 4, 1), (7, 9, 2), (7, 8, 1), (8, 10, 2)]	(6, 8)	None	-M36	{'(6, 8)': {'count': 8, 'move': (6, 8), 'evaluations': ['-M36', '-M36', '-M36', '-M36', '-M36', '-M36', '-M36', '-M36']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (7, 6, 1), (5, 8, 2), (4, 8, 1), (4, 7, 2), (5, 7, 1), (6, 9, 2)]	(7, 10)	None	-M33	{'(7, 10)': {'count': 8, 'move': (7, 10), 'evaluations': ['-M38', '-M32', '-M32', '-M32', '-M32', '-M32', '-M32', '-M32']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 6, 2), (5, 6, 1), (5, 7, 2), (4, 8, 1), (6, 8, 2), (6, 9, 1), (7, 9, 2)]	(4, 6)	None	+M27	{'(4, 6)': {'count': 8, 'move': (4, 6), 'evaluations': ['+M27', '+M27', '+M27', '+M27', '+M27', '+M27', '+M27', '+M27']}}
[(7, 7, 2), (6, 7, 1), (6, 6, 2), (8, 6, 1), (8, 8, 2), (9, 9, 1), (4, 6, 2)]	(5, 7)	None	-M24	{'(5, 5)': {'count': 2, 'move': (5, 5), 'evaluations': ['-M24', '-M24']}, '(5, 7)': {'count': 4, 'move': (5, 7), 'evaluations': ['-M24', '-M24', '-M24', '-M24']}, '(6, 4)': {'count': 2, 'move': (6, 4), 'evaluations': ['-M24', '-M24']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 6, 1), (5, 6, 2), (5, 7, 1), (4, 8, 2), (6, 8, 1), (6, 9, 2), (7, 9, 1), (4, 6, 2)]	(9, 11)	None	-M26	{'(4, 7)': {'count': 1, 'move': (4, 7), 'evaluations': ['-M26']}, '(9, 11)': {'count': 7, 'move': (9, 11), 'evaluations': ['-M26', '-M26', '-M26', '-M26', '-M26', '-M26', '-M26']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 6, 2), (5, 6, 1), (5, 7, 2), (4, 8, 1), (6, 8, 2), (6, 9, 1), (7, 9, 2), (4, 6, 1), (9, 11, 2)]	(8, 10)	211.0	None	{'(8, 10)': {'count': 8, 'move': (8, 10), 'evaluations': ['211', '211', '211', '211', '211', '211', '211', '211']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 6, 1), (5, 6, 2), (5, 7, 1), (4, 8, 2), (6, 8, 1), (6, 9, 2), (7, 9, 1), (4, 6, 2), (9, 11, 1), (8, 10, 2)]	(4, 7)	None	-M24	{'(4, 7)': {'count': 8, 'move': (4, 7), 'evaluations': ['-M24', '-M24', '-M24', '-M24', '-M24', '-M24', '-M24', '-M24']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 6, 2), (5, 6, 1), (5, 7, 2), (4, 8, 1), (6, 8, 2), (6, 9, 1), (7, 9, 2), (4, 6, 1), (9, 11, 2), (8, 10, 1), (4, 7, 2)]	(3, 7)	None	+M23	{'(3, 7)': {'count': 8, 'move': (3, 7), 'evaluations': ['+M23', '+M23', '+M23', '+M23', '+M23', '+M23', '+M23', '+M23']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 6, 1), (5, 6, 2), (5, 7, 1), (4, 8, 2), (6, 8, 1), (6, 9, 2), (7, 9, 1), (4, 6, 2), (9, 11, 1), (8, 10, 2), (4, 7, 1), (3, 7, 2)]	(2, 8)	None	-M20	{'(2, 8)': {'count': 6, 'move': (2, 8), 'evaluations': ['-M20', '-M20', '-M20', '-M20', '-M20', '-M20']}, '(3, 8)': {'count': 1, 'move': (3, 8), 'evaluations': ['-M20']}, '(2, 6)': {'count': 1, 'move': (2, 6), 'evaluations': ['-M20']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 6, 2), (5, 6, 1), (5, 7, 2), (4, 8, 1), (6, 8, 2), (6, 9, 1), (7, 9, 2), (4, 6, 1), (9, 11, 2), (8, 10, 1), (4, 7, 2), (3, 7, 1), (2, 8, 2)]	(6, 10)	None	+M21	{'(6, 10)': {'count': 8, 'move': (6, 10), 'evaluations': ['+M21', '+M21', '+M21', '+M21', '+M21', '+M21', '+M21', '+M21']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2), (6, 6, 1), (6, 5, 2), (7, 5, 1), (8, 4, 2), (7, 4, 1), (5, 8, 2), (4, 8, 1), (8, 7, 2), (5, 7, 1), (3, 9, 2), (4, 7, 1), (4, 9, 2)]	(5, 9)	-266.875	None	{'(5, 9)': {'count': 5, 'move': (5, 9), 'evaluations': ['-281', '-257', '-210', '-299', '-265']}, '(6, 9)': {'count': 1, 'move': (6, 9), 'evaluations': ['-238']}, '(6, 8)': {'count': 2, 'move': (6, 8), 'evaluations': ['-316', '-269']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 6, 1), (5, 6, 2), (5, 7, 1), (4, 8, 2), (6, 8, 1), (6, 9, 2), (7, 9, 1), (4, 6, 2), (9, 11, 1), (8, 10, 2), (4, 7, 1), (3, 7, 2), (2, 8, 1), (6, 10, 2)]	(5, 9)	None	-M18	{'(5, 9)': {'count': 8, 'move': (5, 9), 'evaluations': ['-M18', '-M18', '-M18', '-M18', '-M18', '-M18', '-M18', '-M18']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 6, 2), (5, 6, 1), (5, 7, 2), (4, 8, 1), (6, 8, 2), (6, 9, 1), (7, 9, 2), (4, 6, 1), (9, 11, 2), (8, 10, 1), (4, 7, 2), (3, 7, 1), (2, 8, 2), (6, 10, 1), (5, 9, 2)]	(7, 10)	None	+M19	{'(7, 10)': {'count': 8, 'move': (7, 10), 'evaluations': ['+M19', '+M19', '+M19', '+M19', '+M19', '+M19', '+M19', '+M19']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 6, 1), (5, 6, 2), (5, 7, 1), (4, 8, 2), (6, 8, 1), (6, 9, 2), (7, 9, 1), (4, 6, 2), (9, 11, 1), (8, 10, 2), (4, 7, 1), (3, 7, 2), (2, 8, 1), (6, 10, 2), (5, 9, 1), (7, 10, 2)]	(9, 10)	None	-M18	{'(9, 10)': {'count': 8, 'move': (9, 10), 'evaluations': ['-M18', '-M18', '-M18', '-M18', '-M18', '-M18', '-M18', '-M18']}}
